timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
1000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
1100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
1200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;2
1300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;2
1300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
1400;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;2
1500;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;2
1600;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;2
1700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
1800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
1800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
1900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
2000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
2100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
2200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
2300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
2400;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
2500;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
